S.No.	Date	Sensitive Index Value	Absolute Change	Percent Change
1	2020-09-13	303.98	2.59	0.86%
2	2020-09-14	306.25	2.28	0.75%
3	2020-09-15	304.66	-1.59	-0.52%
4	2020-09-16	305.48	0.83	0.27%
5	2020-09-17	312.5	7.02	2.3%
6	2020-09-20	313.62	1.12	0.36%
7	2020-09-21	312.24	-1.38	-0.44%
8	2020-09-22	307.4	-4.84	-1.55%
9	2020-09-23	308.35	0.95	0.31%
10	2020-09-24	309.57	1.23	0.4%
11	2020-09-27	310.48	0.9	0.29%
12	2020-09-28	309.61	-0.87	-0.28%
13	2020-09-29	307.82	-1.79	-0.58%
14	2020-09-30	307.18	-0.64	-0.21%
15	2020-10-01	310.16	2.98	0.97%
16	2020-10-04	312.35	2.19	0.71%
17	2020-10-05	312.46	0.11	0.04%
18	2020-10-06	313.22	0.76	0.24%
19	2020-10-07	316.4	3.17	1.01%
20	2020-10-08	314.75	-1.65	-0.52%
21	2020-10-11	311.74	-3.01	-0.96%
22	2020-10-12	313.11	1.37	0.44%
23	2020-10-13	311.41	-1.7	-0.54%
24	2020-10-14	309.75	-1.66	-0.53%
25	2020-10-15	310.08	0.33	0.11%
26	2020-10-18	308.28	-1.81	-0.58%
27	2020-10-19	310.9	2.62	0.85%
28	2020-10-20	313.55	2.65	0.85%
29	2020-10-21	316.65	3.1	0.99%
30	2020-10-22	318.56	1.91	0.6%
31	2020-10-28	327.77	9.21	2.89%
32	2020-10-29	328.04	0.27	0.08%
33	2020-11-01	326.63	-1.41	-0.43%
34	2020-11-02	325.46	-1.17	-0.36%
35	2020-11-03	326.6	1.14	0.35%
36	2020-11-04	326.5	-0.11	-0.03%
37	2020-11-05	324.36	-2.14	-0.65%
38	2020-11-08	325.94	1.57	0.48%
39	2020-11-09	325.34	-0.61	-0.19%
40	2020-11-10	330.4	5.06	1.55%
41	2020-11-11	335.62	5.23	1.58%
42	2020-11-12	338.89	3.27	0.97%
43	2020-11-18	338.09	-0.8	-0.24%
44	2020-11-19	343.08	4.98	1.47%
45	2020-11-22	345.07	2	0.58%
46	2020-11-23	344.96	-0.12	-0.03%
47	2020-11-24	349.38	4.42	1.28%
48	2020-11-25	362.33	12.96	3.71%
49	2020-11-26	365.18	2.85	0.79%
50	2020-11-29	383.94	18.76	5.14%
51	2020-11-30	385.57	1.63	0.42%
52	2020-12-01	383.8	-1.77	-0.46%
53	2020-12-02	396.05	12.25	3.19%
54	2020-12-03	392.29	-3.76	-0.95%
55	2020-12-06	370.67	-21.62	-5.51%
56	2020-12-07	382.77	12.1	3.26%
57	2020-12-08	380.18	-2.59	-0.68%
58	2020-12-09	371.71	-8.47	-2.23%
59	2020-12-10	374.03	2.32	0.62%
60	2020-12-13	382.12	8.09	2.16%
61	2020-12-14	388.16	6.04	1.58%
62	2020-12-15	387.42	-0.74	-0.19%
63	2020-12-16	386.99	-0.43	-0.11%
64	2020-12-17	385.95	-1.04	-0.27%
65	2020-12-20	369.55	-16.39	-4.25%
66	2020-12-21	376.57	7.01	1.9%
67	2020-12-22	391.75	15.18	4.03%
68	2020-12-23	390.51	-1.24	-0.32%
69	2020-12-24	386.77	-3.74	-0.96%
70	2020-12-27	381.44	-5.33	-1.38%
71	2020-12-28	382.58	1.14	0.3%
72	2020-12-29	382.45	-0.13	-0.03%
73	2020-12-30	391.3	8.86	2.32%
74	2020-12-31	398.71	7.4	1.89%
75	2021-01-03	415.89	17.18	4.31%
76	2021-01-04	415.16	-0.73	-0.18%
77	2021-01-05	413.69	-1.47	-0.35%
78	2021-01-06	418.14	4.45	1.08%
79	2021-01-07	421.22	3.08	0.74%
80	2021-01-10	428.44	7.21	1.71%
81	2021-01-11	429.4	0.96	0.22%
82	2021-01-12	433.29	3.89	0.91%
83	2021-01-13	435.25	1.97	0.45%
84	2021-01-17	443.42	8.17	1.88%
85	2021-01-18	445.61	2.18	0.49%
86	2021-01-19	442.82	-2.85	-0.64%
87	2021-01-20	443.01	0.18	0.04%
88	2021-01-21	445.6	2.59	0.58%
89	2021-01-24	452.07	6.47	1.45%
90	2021-01-25	451.82	-0.24	-0.05%
91	2021-01-26	447.25	-4.58	-1.01%
92	2021-01-27	446.38	-0.86	-0.19%
93	2021-01-28	442.06	-4.32	-0.97%
94	2021-01-31	432.33	-9.73	-2.2%
95	2021-02-01	437.28	4.95	1.14%
96	2021-02-02	451.38	14.1	3.22%
97	2021-02-03	452.3	0.92	0.2%
98	2021-02-04	454.03	1.68	0.37%
99	2021-02-07	459.33	5.3	1.17%
100	2021-02-08	466.6	7.28	1.58%
101	2021-02-09	462.57	-4.03	-0.86%
102	2021-02-10	465.13	2.56	0.55%
103	2021-02-11	463.48	-1.66	-0.36%
104	2021-02-14	454.12	-9.31	-2.01%
105	2021-02-15	469.45	15.33	3.37%
106	2021-02-16	473.54	4.09	0.87%
107	2021-02-17	475.01	1.47	0.31%
108	2021-02-18	481.78	6.77	1.43%
109	2021-02-21	479.58	-2.2	-0.46%
110	2021-02-22	470.36	-9.22	-1.92%
111	2021-02-23	467.95	-2.41	-0.51%
112	2021-02-24	470.35	2.4	0.51%
113	2021-02-25	461.82	-8.53	-1.81%
114	2021-02-28	447.29	-14.53	-3.15%
115	2021-03-01	453.76	6.47	1.45%
116	2021-03-02	443.96	-9.8	-2.16%
117	2021-03-03	436.8	-7.12	-1.6%
118	2021-03-04	451.47	14.67	3.36%
119	2021-03-07	449.69	-1.78	-0.39%
120	2021-03-09	445.21	-4.47	-0.99%
121	2021-03-10	445.24	0.02	0.01%
122	2021-03-14	435.13	-10.1	-2.27%
123	2021-03-15	430.06	-5.07	-1.17%
124	2021-03-16	430.49	0.44	0.1%
125	2021-03-17	438.61	8.11	1.88%
126	2021-03-18	444.15	5.55	1.26%
127	2021-03-21	453.59	9.44	2.13%
128	2021-03-22	448.81	-4.79	-1.06%
129	2021-03-23	448.9	0.09	0.02%
130	2021-03-24	455.96	7.06	1.57%
131	2021-03-25	450.31	-5.64	-1.24%
132	2021-03-29	449.92	-0.39	-0.09%
133	2021-03-30	456.11	6.19	1.38%
134	2021-03-31	463.59	7.48	1.64%
135	2021-04-01	466.42	2.83	0.61%
136	2021-04-04	470.75	4.33	0.93%
137	2021-04-05	471.85	1.09	0.23%
138	2021-04-06	476.18	4.34	0.92%
139	2021-04-07	476.8	0.62	0.13%
140	2021-04-08	476.52	-0.28	-0.06%
141	2021-04-12	480.3	3.78	0.79%
142	2021-04-13	486.28	5.99	1.25%
143	2021-04-15	492.45	6.17	1.27%
144	2021-04-18	486.16	-6.29	-1.28%
145	2021-04-19	479.1	-7.06	-1.45%
146	2021-04-20	479.6	0.5	0.1%
147	2021-04-21	473.4	-6.21	-1.29%
148	2021-04-22	476.61	3.21	0.68%
149	2021-04-25	464.05	-12.56	-2.63%
150	2021-04-26	452.8	-11.25	-2.42%
151	2021-04-27	467.28	14.48	3.2%
152	2021-04-28	465.12	-2.16	-0.46%
153	2021-04-29	469.03	3.91	0.84%
154	2021-05-02	477.81	8.78	1.87%
155	2021-05-03	475.13	-2.69	-0.56%
156	2021-05-04	475.45	0.32	0.07%
157	2021-05-05	473.82	-1.63	-0.34%
158	2021-05-06	473.05	-0.77	-0.16%
159	2021-05-09	470.74	-2.31	-0.49%
160	2021-05-10	475.12	4.35	0.92%
161	2021-05-11	478.24	3.12	0.66%
162	2021-05-12	478.38	0.14	0.03%
163	2021-05-13	479.5	1.12	0.23%
164	2021-05-16	488.15	8.64	1.8%

